kakou_no,X,Y
3701022019,117.0454576,36.66072876
3701022020,117.0590092,36.65928411
3701022021,117.0493697,36.64065707
3701022023,117.0388736,36.64315005
3701022024,117.0344502,36.64545126
3701022026,117.0196968,36.64548961
3701022027,117.0202977,36.64184603
3701022028,117.0445116,36.647484
3701022029,117.0498299,36.66929439
3701022031,117.0488072,36.6759807
3701022032,117.0466849,36.68721829
3701022034,117.0434888,36.66604713
3701022035,117.0431053,36.67149333
3701022036,117.0412643,36.67498351
3701022038,117.0243376,36.65356943
3701022039,117.023187,36.65732808
3701022042,117.0105815,36.65919462
3701022047,117.0300139,36.66750456
3701022049,117.0151455,36.66248024
3701022052,117.015951,36.67162118
3701022053,117.0272013,36.67208142
3701033005,117.0074237,36.65495016
3701033006,117.0074876,36.64892865
3701033008,117.0059151,36.65135771
3701033009,117.0013127,36.66405274
3701033010,117.0005967,36.66441071
3701033011,117.0021309,36.66746621
3701033012,117.0017346,36.6672233
3701033013,116.9934758,36.66384819
3701033014,116.9949971,36.65829971
3701033015,116.984386,36.65873438
3701033016,116.9813049,36.65984663
3701033017,116.9843604,36.66622611
3701979105,117.1906642,36.67320646
3701044102,116.9687761,36.65689341
3701260006,117.1378897,37.43935727
3701260005,117.1374806,37.43281159
3701240007,116.47497,36.28271
3701022006,117.0776235,36.64224235
3701022012,117.0951127,36.65333931
3701022015,117.0908938,36.68507049
3701022016,117.0911239,36.68097945
3701060002,117.1104541,36.66992084
3701060003,117.1097638,36.6920892
3701060006,117.1463019,36.64596264
3701060007,117.1111829,36.69459496
3701060008,117.1136375,36.6697035
3701060010,117.1398841,36.64738172
3701060011,117.2869956,36.6700359
3701033019,116.9934118,36.66577865
3701060013,117.2476065,36.70677861
3701060015,117.3266148,36.73399686
3701060017,117.2898593,36.66969071
3701022022,117.0417757,36.63983886
3701022033,117.0408169,36.68351078
3701022040,117.0204128,36.65704682
3701022041,117.0181627,36.65819743
3701022045,117.0216784,36.66239075
3701022046,117.0309344,36.66724887
3701022048,117.0242609,36.66632838
3701022051,117.0103897,36.66666078
3701033002,116.9943451,36.54326458
3701033003,116.8829664,36.60212452
3701033004,116.8841425,36.61567611
3701033007,117.0078711,36.65131936
3701033018,116.993399,36.66819492
3701033027,116.8831198,36.58177156
3701033030,116.8982567,36.5283834
3701033031,116.9784923,36.59464557
3701033037,116.9940639,36.65188188
3701033040,117.0049051,36.62623613
3701033041,117.008178,36.62761685
3701033042,116.9354085,36.61591902
3701033045,116.9909189,36.62994364
3701033046,116.9898194,36.62979022
3701033052,116.9275588,36.62777027
3701033059,117.0619113,36.6315417
3701044001,116.8864438,36.70301996
3701044006,116.8631759,36.64467141
3701044007,116.8800515,36.64860904
3701044008,116.8849607,36.64359751
3701044009,116.8873387,36.61473006
3701044010,116.8815345,36.63469948
3701044011,116.9076916,36.6445947
3701044012,116.9153368,36.65208643
3701044013,116.9217802,36.65200972
3701044015,116.9002638,36.65192023
3701044016,116.9384512,36.69867322
3701044017,116.925884,36.70496321
3701044020,116.9402794,36.6632601
3701044022,116.9411359,36.66328567
3701044025,116.9457639,36.66415502
3701126035,117.2857811,36.75579447
3701126036,117.293145,36.84421222
3701126037,117.2397568,36.64303499
3701126038,117.2206311,36.66901313
3701126039,117.2076165,36.67247774
3701126041,117.2248756,36.62242634
3701126043,117.0138287,36.48777976
3701126045,117.0567847,36.45985836
3701126046,117.1801298,36.51815578
3701126048,117.22058,36.64605213
3701044026,116.9611309,36.65101253
3701044027,116.9781855,36.66236518
3701044029,116.8557609,36.64661465
3701044031,116.8463515,36.65566609
3701044032,116.867267,36.64794424
3701044033,116.8502124,36.70470752
3701055006,116.9442809,36.71608574
3701055007,116.9419541,36.69869879
3701055010,116.9778019,36.69056784
3701055012,117.0043298,36.68536454
3701055013,117.0331845,36.69560494
3701055014,117.0218574,36.698034
3701055015,117.0267667,36.68737171
3701055016,117.0454321,36.70263643
3701055017,116.9737365,36.67494515
3701055019,117.006695,36.66534398
3701055020,117.0331589,36.74316336
3701055021,116.9987941,36.84175759
3701126003,117.2170003,36.75477171
3701126007,117.1007635,36.75385122
3701126008,117.1688666,36.62777027
3701126010,117.0509805,36.67164675
3701126011,117.049766,36.67410137
3701126013,117.0595973,36.68463582
3701126014,117.050955,36.68879079
3701126015,117.0786974,36.68755069
3701126016,117.0789786,36.67630031
3701126017,117.0745041,36.67315532
3701126018,117.0594695,36.70023294
3701126022,117.0768564,36.73764045
3701126023,117.1468261,36.72601932
3701126024,117.1807946,36.688778
3701126025,117.1687771,36.62777027
3701126027,117.1694675,36.68831776
3701126030,117.158345,36.80401768
3701126050,117.2609791,36.7299186
3701044003,116.8822632,36.72077766
3701055001,116.8684943,36.79578445
3701055002,116.9327237,36.76801647
3701055003,116.8720228,36.7457714
3701055004,116.9115526,36.78928991
3701055005,116.9696454,36.79286958
3701126001,117.1684703,36.3910265
3701126002,117.0836834,36.34582043
3701126026,117.0570915,36.45852877
3701126029,117.155072,36.452085
3701126034,117.2145969,36.50557581
3701126040,117.25428,36.47693848
3701126042,116.98918,36.45975608
3701126044,117.0255905,36.45484683
3701126047,117.2084603,36.50884865
3701130001,116.8402661,36.57635092
3701130002,116.8476299,36.49248446
3701130003,116.8259474,36.48143863
3701130004,116.7514903,36.41086807
3701130005,116.9609519,36.42334577
3701130006,116.9642248,36.37875336
3701130007,116.9433604,36.41475457
3701130008,116.9359966,36.39429933
3701130009,117.0084081,36.37875336
3701130010,116.7699001,36.53748598
3701130011,116.7371717,36.55978218
3701130012,116.7478084,36.5528274
3701130013,116.7545586,36.5700098
3701130014,116.7439219,36.54055426
3701130015,116.7214723,36.51943423
3701130016,116.746172,36.54771359
3701130017,116.6336682,36.408618
3701130018,116.7023978,36.46937005
3701130019,116.6029853,36.40207232
3701130020,116.5915304,36.40452695
3701130021,116.6091219,36.40779979
3701130022,116.7899462,36.53380403
3701130023,116.7494448,36.45566504
3701130024,116.7338988,36.47530206
3701130025,116.7531268,36.48307505
3701130026,116.8760627,36.47673393
3701130027,116.7535359,36.55855487
3701130028,116.7412627,36.48880252
3701130029,116.7465811,36.4785749
3701130030,116.7285805,36.47775669
3701130031,116.8811765,36.35584349
3701130032,116.8766764,36.3472523
3701130034,116.7793095,36.43602801
3701130035,116.7694909,36.44707384
3701130036,116.7883098,36.44584653
3701130038,116.8451753,36.5721576
3701130039,116.8142879,36.62257975
3701130040,116.8169471,36.61623863
3701130041,116.8095832,36.613784
3701130042,116.8670624,36.64753514
3701130043,116.7989465,36.61828415
3701130044,116.828402,36.61521587
3701130045,116.722853,36.4871661
3701126051,117.1393216,36.50271208
3701247003,116.33804,36.29504
3701257103,117.1176774,36.92641669
3701257104,117.2249779,37.04293482
3701257105,117.1136758,36.93124924
3701022030,117.0499066,36.6718513
3701022037,117.0303719,36.67302747
3701022114,117.0362783,36.66609826
3701055117,117.0375824,36.7030711
3701126109,117.0277639,36.7220689
3701126028,117.1807946,36.68857345
3701022123,117.0304742,36.67371784
3701055022,116.9917371,36.76934606
3701060001,117.1033971,36.69176958
3701060005,117.142914,36.68891863
3701060009,117.1205923,36.66040915
3701060012,117.2855254,36.72894697
3701060016,117.3603404,36.69345714
3701060004,117.1230852,36.65386348
3701240006,116.2867986,36.18151376
3701033104,116.9985129,36.60785198
3701033020,116.9826856,36.66356693
3701033021,116.9849868,36.66226291
3701033022,117.0059943,36.66314247
3701044002,116.882097,36.72077766
3701022106,117.0499328,36.64804671
3701022130,117.095215,36.65668886
3701022113,117.0333379,36.66021738
3701022119,117.0418268,36.68016124
3701022120,117.0392955,36.67159561
3701022137,117.1173066,36.65379955
3701022135,117.1106076,36.65379955
3701022136,117.1139315,36.65387626
3701022139,117.1193941,36.64955109
3701022140,117.1139699,36.64928662
3701022138,117.1172939,36.64968294
3701022141,117.1107308,36.64970672
3701022118,117.01279,36.65987431
3701022110,117.0189631,36.66023744
3701022102,117.0628957,36.63730752
3701022117,117.0105074,36.66376497
3701022111,117.0277766,36.66595763
3701022116,117.0149687,36.66454311
3701022115,117.0200164,36.66517778
3701022112,117.0220757,36.66516561
3701022105,117.0181755,36.6424469
3701022104,117.0166925,36.63625919
3701022101,117.0945502,36.64505494
3701033107,117.0075899,36.64837892
3701033108,117.0013766,36.64857068
3701033109,116.9960861,36.64840983
