kakou_no,statusRate,X,Y
3701022002,0.93 ,117.0648134,36.66551018
3701022003,0.88 ,117.0588047,36.66617497
3701022004,0.94 ,117.0628702,36.66392489
3701022005,0.94 ,117.0647111,36.6625953
3701022006,0.92 ,117.0776235,36.64224235
3701022007,0.94 ,117.0806534,36.65672721
3701022008,0.96 ,117.1054426,36.66282543
3701022010,0.98 ,117.0749771,36.66538233
3701022011,0.98 ,117.080717,36.663004
3701022012,0.72 ,117.0951127,36.65333931
3701022013,0.96 ,117.0895642,36.64952952
3701022014,0.94 ,117.0861635,36.6894428
3701022017,0.70 ,117.0586385,36.65773719
3701022018,0.90 ,117.0586768,36.65121708
3701022019,0.61 ,117.0454576,36.66072876
3701022020,0.73 ,117.0590092,36.65928411
3701022021,0.26 ,117.0493697,36.64065707
3701022022,0.84 ,117.0417757,36.63983886
3701022023,0.98 ,117.0388736,36.64315005
3701022024,0.95 ,117.0344502,36.64545126
3701022025,0.77 ,117.0268178,36.64545126
3701022026,0.98 ,117.0196968,36.64548961
3701022027,0.95 ,117.0202977,36.64184603
3701022029,0.96 ,117.0498299,36.66929439
3701022031,0.97 ,117.0488072,36.6759807
3701022032,0.77 ,117.0466849,36.68721829
3701022033,0.96 ,117.0408169,36.68351078
3701022034,0.93 ,117.0434888,36.66604713
3701022035,0.97 ,117.0431053,36.67149333
3701022036,0.92 ,117.0412643,36.67498351
3701022037,0.95 ,117.0303719,36.67302747
3701022039,0.93 ,117.023187,36.65732808
3701022040,0.95 ,117.0204128,36.65704682
3701022041,0.95 ,117.0181627,36.65819743
3701022042,0.76 ,117.0105815,36.65919462
3701022043,0.92 ,117.0106326,36.6553337
3701022045,0.94 ,117.0216784,36.66239075
3701022046,0.93 ,117.0309344,36.66724887
3701022047,0.21 ,117.0300139,36.66750456
3701022048,0.98 ,117.0242609,36.66632838
3701022049,0.97 ,117.0151455,36.66248024
3701022051,0.93 ,117.0103897,36.66666078
3701022052,0.88 ,117.015951,36.67162118
3701022053,0.95 ,117.0272013,36.67208142
3701022055,0.96 ,117.1168208,36.64339295
3701022101,0.85 ,117.0945502,36.64505494
3701022102,0.98 ,117.0628957,36.63730752
3701022103,0.98 ,117.0292345,36.63020154
3701022104,0.86 ,117.0166925,36.63625919
3701022105,0.33 ,117.0181755,36.6424469
3701022106,0.64 ,117.0499328,36.64804671
3701022107,0.86 ,117.030423,36.64812323
3701022108,0.69 ,117.0258717,36.64843005
3701022109,0.98 ,117.0187636,36.64827664
3701022110,0.98 ,117.0189631,36.66023744
3701022111,0.98 ,117.0277766,36.66595763
3701022112,0.97 ,117.0220757,36.66516561
3701022113,0.97 ,117.0333379,36.66021738
3701022114,0.98 ,117.0362783,36.66609826
3701022115,0.95 ,117.0200164,36.66517778
3701022116,0.96 ,117.0149687,36.66454311
3701022117,0.72 ,117.0105074,36.66376497
3701022118,0.97 ,117.01279,36.65987431
3701022119,0.98 ,117.0418268,36.68016124
3701022120,0.98 ,117.0392955,36.67159561
3701022121,0.98 ,117.0222537,36.67204307
3701022122,0.87 ,117.010492,36.67150612
3701022123,0.98 ,117.0304742,36.67371784
3701022124,0.98 ,117.0650819,36.65078241
3701022125,0.95 ,117.0666799,36.66054978
3701022126,0.98 ,117.0675237,36.66591928
3701022127,0.98 ,117.0673959,36.66742785
3701022128,0.94 ,117.1036783,36.67856317
3701022129,0.96 ,117.0881324,36.65492459
3701022130,0.98 ,117.095215,36.65668886
3701022131,0.98 ,117.1056472,36.65868324
3701022132,0.91 ,117.1225483,36.65950145
3701022133,0.96 ,117.1351283,36.66103559
3701022134,0.96 ,117.1457394,36.66402717
3701022135,0.93 ,117.1106076,36.65379955
3701022136,0.94 ,117.1139315,36.65387626
3701022137,0.93 ,117.1173066,36.65379955
3701022138,0.64 ,117.1172939,36.64968294
3701022139,0.86 ,117.1193941,36.64955109
3701022140,0.91 ,117.1139699,36.64928662
3701022141,0.79 ,117.1107308,36.64970672
3701022142,0.98 ,117.0211798,36.66195608
3701022143,0.70 ,117.1197996,36.64750957
3701022147,0.98 ,117.0654654,36.6545027
3701022148,0.86 ,117.0386563,36.64827664
3701022149,0.87 ,117.0445371,36.64791867
3701022150,0.98 ,117.0796179,36.65226541
3701022151,0.98 ,117.0421464,36.63686006
3701022152,0.98 ,117.0450869,36.63755043
3701022153,0.83 ,117.0768053,36.63876496
3701022154,0.91 ,117.089577,36.64414724
3701022155,0.95 ,117.1139315,36.64288157
3701022157,0.98 ,117.0497021,36.66086939
3701022158,0.98 ,117.090945,36.67653043
3701022159,0.75 ,117.0782627,36.67422922
3701022160,0.98 ,117.0742995,36.67220926
3701022161,0.93 ,117.1206178,36.65383791
3701022162,0.96 ,117.1135736,36.63555604
3701022163,0.96 ,117.1085365,36.70581977
3701022647,0.70 ,117.0755524,36.63843256
3701022648,0.98 ,117.0841436,36.64124515
3701022649,0.98 ,117.0873142,36.64344409
3701022669,0.96 ,117.0714358,36.67160839
3701033001,0.66 ,116.9026545,36.58749902
3701033002,0.97 ,116.9943451,36.54326458
3701033003,0.53 ,116.8829664,36.60212452
3701033004,0.59 ,116.8841425,36.61567611
3701033005,0.97 ,117.0074237,36.65495016
3701033006,0.98 ,117.0074876,36.64892865
3701033007,0.98 ,117.0078711,36.65131936
3701033008,0.92 ,117.0059151,36.65135771
3701033010,0.89 ,117.0005967,36.66441071
3701033011,0.98 ,117.0021309,36.66746621
3701033012,0.97 ,117.0017346,36.6672233
3701033013,0.95 ,116.9934758,36.66384819
3701033014,0.84 ,116.9949971,36.65829971
3701033015,0.37 ,116.984386,36.65873438
3701033016,0.71 ,116.9813049,36.65984663
